pregunta;respuesta
Sácate eso de la boca.;Take that out of your mouth.
Tíralo.;Throw it away.
No vuelvas a hacer eso nunca.;Don't ever do that again.
Seamos razonables.;Let's be reasonable.
Él es capaz de hacer las cosas más inesperadas.;He's capable of doing the most unexpected things.
Los alimentos están prohibidos aquí.;Food is prohibited here.
Ni siquiera se os permite hablar.;You're not even allowed to speak.
¿Nunca lo has probado?;Haven't you ever tried it?
Ha habido varias quejas.;There have been several complaints.
¿De qué se está quejando la gente?;What are the people complaining about?
Dicen que no tienen pan.;They say that don't have any bread.
Pues que coman tarta.;Then let them eat cake.
Va a haber una revolución.;There's going to be a revolution.
No mientras yo esté aquí.;Not as long as I'm here.
¿Qué vas a hacer para detenerlo?;What are you going to do to stop it?
¿Se ha puesto ya el sol?;Has the sun set yet?
El sol no salió ayer.;The sun didn't rise yesterday.
El sol siempre sale.;The sun always rises.
Estuve dormido todo el día.;I slept all day.
Estaban dormidos cuando entramos.;They were asleep when we entered.
¿No se despertaron?;Didn't they wake up?
Tuvimos cuidado de no hacer ruido.;We were careful not to make any noise.
Es demasiado tarde para hacer algo.;It's too late to do anything.
Nunca es demasiado tarde.;It's never too late.
Más vale tarde que nunca.;Better late than never.
Es muy viejo ese proverbio.;That proverb is very old.
El sujeto siempre va delante del verbo.;The subject always goes before the verb.
Su ausencia (de él) no fue notada.;His absence wasn't noticed.
No se dieron cuenta de que no estaba allí.;They didn't realise he wasn't there.
Pero ¡tenían que haberlo notado!;But they must have noticed it!
Esta es la última vez que lo voy a hacer.;This is the last time I'm going to do it.
¿Quién te va a reemplazar?;Who's going to replace you?
Ese no es mi problema.;That's not my problem.
Aún no se ha tomado ninguna decisión.;No decision has been made yet.
¿Se ha publicado ya?;Has it been published yet?
Ha habido un cambio.;There's been a change.
¿Ha habido de verdad un cambio?;Has there really been a change?
¿Se han instalado los cables?;Have the wires been installed?
No estoy cualificado para juzgar.;I'm not qualified to judge.
Tu juicio fue erróneo.;Your judgement was wrong.
No necesito tus consejos.;I don't need your advice.
¿Has estado en el médico?;Have you been to the doctor?
Los médicos no saben nada.;Doctors don't know anything.
Pero tendrás que confiar en ellos.;But you'll have to depend on them.
Debe de haber una forma mejor.;There must be a better way.
Debería haber más sillas.;There should be more chairs.
Tira todos esos papeles.;Throw all those papers away.
Pero me hacen falta.;But I need them.
Nos estamos acercando al final.;We're approaching the end.
Tu enfoque es, digamos, un poco extraño.;Your approach is, let's say, a little strange.
Lo que necesita esta compañía es juventud y vitalidad.;What this company needs is youth and vitality.
Lo que necesitamos es sentido común.;What we need is common sense.
No podrás levantarlo.;You won't be able to lift it.
No siempre es posible decir la verdad.;It's not always possible to tell the truth.
¿Es cierto que vas a dejarnos?;Is it true that you're going to leave us?
Si tuviera elección me quedaría.;If I had a choice, I'd stay.
Todos queremos que te quedes.;We all want you to stay.
Me estoy cansando de hacer listas.;I'm getting tired of making lists.
Me estoy acostumbrando a ello.;I'm getting used to it.
Me voy a casar pronto.;I'm going to get married soon.
Bájate del coche.;Get out of the car.
Bájate del autobús.;Get off the bus.
Súbete al autobús.;Get on the bus.
Súbete al coche.;Get into the car.
Enfermé durante el viaje.;I got ill during the trip.
Llegué de vuelta anoche.;I got back last night.
Me levanté temprano.;I got up early.
Él se desanimó.;He got discouraged.
Oscurece pronto en invierno.;It gets dark early in the winter.
El agua se pone caliente si la hierves.;Water gets hot if you boil it.
No te enfades.;Don't get angry.
No te pongas triste.;Don't get sad.
Me perdí en esa parte de la ciudad.;I got lost in that part of the city.
Se vistieron para la fiesta.;They got dressed for the party.
Se está nublando.;It's getting cloudy.
Si sales ahora te mojarás.;If you go out now you'll get wet.
Tu salud está empeorando.;Your health is getting worse.
Tu inglés está mejorando.;Your English is getting better.
Llegué a casa muy tarde.;I got home very late.
El perro se soltó.;The dog got loose.
Las cosas se están poniendo difíciles.;Things are getting difficult.
Se llevan muy bien.;They get along very well.
Ya superarás la enfermedad.;You'll get over the illness.
Él se puso bien rápidamente.;He got well quickly.
Estoy engordando.;I'm getting fat.
Me irrité cuando lo oí.;I got irritated when I heard it.
Llegaron al aeropuerto de noche.;They got to the airport at night.
Reunámonos todos en el bar.;Let's all get together in the bar.
Puedo apañarme con mi inglés.;I can get by with my English.
Él sabe lo suficiente para salir del paso.;He knows enough to get by.
¿Puedes conseguirme un lápiz?;Can you get me a pencil?
Quiero alejarme del ruido.;I want to get away from the noise.
¿Cuándo recibiste mi carta?;When did you get my letter?
¿Puedes conseguir que vengan aquí?;Can you get them to come here?
Tengo un secreto.;I've got a secret. / I have a secret.
Iré a por el libro.;I'll go and get the book.
No pude contactar con él por teléfono.;I couldn't get through to him.
Tenemos que hacer llegar esto a Correos.;We have to get this to the post office.
Seré despedido si hago eso.;I'll get fired if I do that.
Ponte en contacto conmigo lo antes posible.;Get in touch with me as soon as possible.
Estoy envejeciendo.;I'm getting old.
Tardo mucho en prepararme para el trabajo cada mañana.;It takes me a long time to get ready for work every morning.
Este suelo se ensucia fácilmente.;This floor gets dirty easily.
Se enfriará si lo metes en la nevera.;It'll get cold if you put it in the refrigerator.
¡Lo hemos conseguido!;We did it!
Mi hijo consiguió buenas notas.;My son got good grades / marks.
Nunca ha habido nada como esto.;There's never been anything like this.
¿Se mandaron las fotos?;Were the pictures sent?
No se han mandado todavía.;They haven't been sent yet.
No iré a menos que vengas conmigo.;I won't go unless you come with me.
Si sigues las directrices, todo irá bien.;If you follow the guidelines, everything will turn out fine.
Nací en una ciudad grande.;I was born in a big city.
Ojalá hubiera nacido en una ciudad pequeña.;I wish I had been born in a small city.
Me crié en los barrios bajos.;I grew up in the slums.
Ojalá me hubiera criado en una zona mejor.;I wish I had grown up in a better area.
Nunca tuve muchos amigos.;I never had many friends.
Ojalá hubiera tenido más amigos.;I wish I had had more friends.
Mi familia fue pobre.;My family was poor.
Ojalá mi familia hubiera sido rica.;I wish my family had been rich.
Murió mi padre cuando yo era joven.;My father died when I was young.
Ojalá no hubiera muerto tan pronto.;I wish he hadn't died so soon.
Mi primer trabajo no me pagaba bien.;My first job didn't pay me well.
Ojalá me hubiera pagado mejor.;I wish it had paid me better.
Seguía cambiando de trabajo.;I kept changing jobs.
Ojalá pudiera haberme quedado en un trabajo.;I wish I could've kept a job.
Nunca aprendí un oficio.;I never learned a trade.
Ojalá hubiera aprendido un oficio.;I wish I had learned a trade.
Conocí a Melinda.;I met Melinda.
Ojalá no la hubiera conocido.;I wish I hadn't met her.
Ella era hermosa.;She was beautiful.
Ojalá no hubiera sido tan hermosa.;I wish she hadn't been so beautiful.
Me casé con ella.;I married her.
Ojalá no hubiera cometido ese error.;I wish I hadn't made that mistake.
No tuvimos hijos.;We didn't have any children.
Ojalá hubiéramos tenido al menos uno.;I wish we had had at least one.
Odio vivir en apartamentos.;I hate living in apartments.
He intentado todo.;I've tried everything.
Los resultados son desalentadores.;The results are discouraging.
Más dinero no es lo que necesitamos.;More money is not what we need.
Se nos han agotado las ideas.;We've run out of ideas.
Nos hemos quedado sin gasolina.;We've run out of gasoline.
Me tropecé con Juan ayer.;I ran into John yesterday.
Aflójalo.;Loosen it.
Apriétalo.;Tighten it.
No le asustes.;Don't frighten him. (scare)
No me amenaces.;Don't threaten me.
Ensánchalo.;Widen it.
Enderézalo.;Straighten it.
Acórtalo.;Shorten it.
Alárgalo.;Lengthen it.
Ablándalo.;Soften it.
Endurécelo.;Harden it.
Debilítalo.;Weaken it.
Fortalécelo.;Strengthen it.
Afílalo.;Sharpen it.
No dejes que lo vean.;Don't let them see it.
La pimienta me hace estornudar.;Pepper makes me sneeze.
Gente así me pone enfermo.;People like that make me sick.
No me hagas reír.;Don't make me laugh.
No le oí decir nada.;I didn't hear him say anything.
No le vi hacer nada.;I didn't see him do anything.
No se hizo nada.;Nothing was done.
Nadie fue herido.;Nobody was hurt / injured.
Me dejaron marchar.;They let me go.
Me hicieron quedarme.;They made me stay.
Me dijeron que me tumbara en el sofá.;They told me to lie down on the couch.
Hice lo que me dijeron.;I did what they told me.
Hice lo que dijeron.;I did what they said.
Me quedé dormido.;I fell asleep.
Me obligaron a mantenerme despierto.;They made me stay awake.
No pude mantener los ojos abiertos.;I couldn't keep my eyes open.
Me trataron muy mal.;They treated me very badly.
No me dejaron salir de la casa.;They didn't let me leave the house.
No me dejaron hacer nada.;They didn't let me do anything.
No me dejaron hacer la cama.;They didn't let me make the bed.
Ha ocurrido algo terrible.;Something terrible has happened.
Poca gente sabe mi nombre real.;Few people know my real name.
¿Por qué no me han informado?;Why haven't they informed me?
Te vas a arrepentir de esto.;You're going to regret this.
Ya estoy empezando a arrepentirme de ello.;I'm already starting to regret it.
Él perdona pero no olvida.;He forgives but he doesn't forget.
¿Cómo es tu nuevo vestido?;What's your new dress like?
¿Qué aspecto tenía él cuando llegó allí?;What did he look like when he got there?
¿Cuánto tiempo llevabas esperando?;How long had you been waiting?
¿Te habían dicho que no iban a ir?;Had they told you they weren't going to go?
No hay esperanza.;There's no hope.
No pierdas la esperanza.;Don't lose hope.
No te des por vencido.;Don't give up.
Sigue luchando.;Keep fighting.
No des el brazo a torcer.;Don't give in.
Algún día ganarás, ya verás.;Someday you'll win, you'll see.
La vida no es un lecho de rosas.;Life isn't a bed of roses.
No todo sale bien.;Not everything turns out well.
Todos tenemos problemas como los tuyos de vez en cuando.;We all have problems like yours from time to time.
Tienes que seguir adelante.;You have to keep going.
Tienes mucha vida por delante.;You have a long life ahead of you.
No la desperdicies.;Don't waste it.
Vendrán otras oportunidades.;Other opportunities will come (along).
Créeme. Sé lo que estoy diciendo.;Believe me. I know what I'm saying.
No olvides mis consejos.;Don't forget my advice.
Quiero que tengas esto.;I want you to have this.
Guárdalo vayas donde vayas.;Keep it wherever you go.
Contiene unas ideas muy interesantes.;It contains some very interesting ideas.
Espero volver a verte algún día.;I hope to see you again someday.
Ten en cuenta todo lo que te he dicho.;Keep in mind everything I've told you.
Puede que tengas razón.;You may be right.
Eres un caso perdido.;You're a lost case.
¿Por qué dices eso?;Why do you say that?
Tu mesa de trabajo es un desorden.;Your desk is a mess.
Así que crees que soy desordenado.;So you think I'm messy.
Eso es.;That's right.
Pero soy más eficaz que tú.;But I'm more effective than you are.
Tengo serias dudas.;I have serious doubts.
¿Cuánto quieres apostar?;How much do you want to bet?
No soy jugador.;I'm not a gambler.
¿Cuál es la diferencia entre eficaz y eficiente?;What's the difference between effective and efficient?
Matar a una mosca con un cañón es muy eficaz, ¿no crees?;Killing a fly with a cannon is very effective, don't you think?
¿Lo consideras una forma eficiente de eliminar moscas?;Do you consider it an efficient way to eliminate flies?
Ahí tienes la diferencia.;There you have the difference.
Él no durará mucho en ese puesto.;He won't last long in that job.
Beethoven fue el último de 13 hijos.;Beethoven was the last of 13 children.
La madre no quería el niño.;The mother didn't want the child.
Menos mal que sobrevivió.;It's a good thing he survived.
Tú sabes mucho.;You know a lot.
Mucho más de lo que puedas imaginar.;Much more than you can imagine.
Hay problemas que resolver.;There are problems to solve.
Hay cartas que escribir.;There are letter to write.
Hay trabajo que hacer.;There's work to do.
¿Qué haces para matar el tiempo?;What do you do to kill time?
No mucho.;Not much.
Depende de los tipos de interés.;It depends on the interest rates.
¿Crees que van a subir?;Do you think they're going to go up?
Las autoridades quieren bajarlos.;The authorities want to lower them.
¿Pueden?;Can they?
Tienen bastante poder.;They have quite a lot of power.
¿Tienen que consultarse los bancos?;Do the banks have to be consulted?
No necesariamente.;Not necessarily.
Es un hombre muy educado.;He's a very polite man.
Él tiene muy buena formación.;He has a very good education.
Recibí una formación francesa.;I received a French education.
Fui formado por los ]esuitas.;I was educated by the Jesuits.
Están en todas partes.;They're everywhere.
Están donde menos te los esperas.;They're where you least expect them.
Tendrás que razonar con él.;You'll have to reason with him.
La economía va de mal en peor.;The economy's getting worse and worse.
Daré mi reino por un buen economista.;I'll give my kingdom for a good economist.
No los hay.;There aren't any.
Son como los gitanos que te leen la palma.;They're like the gypsies who read your palm.
No te sigo.;I don't follow you.
Casi nunca aciertan en sus pronósticos.;They're hardly ever right in their forecasts.
No los hago caso.;I don't pay any attention to them.
Juegan un papel muy importante.;They plan a very important role.
La sociedad no los necesita.;Society doesn't need them.
¿Desde cuándo eres la portavoz de la sociedad?;Since when are you the spokesman for society?
Mi experiencia abarca muchos años.;My experience covers many years.
Pues no te ha enseñado nada.;Well it hasn't taught you anything.
¿No estás cansado de tantas listas?;Aren't you tired of so many lists?
Por supuesto que sí.;Of course I am.
Entonces ¿por qué no haces otra cosa?;Then why don't you do something else?
¿Como qué?;Like what?
Como tocar la guitarra, por ejemplo.;Like playing the guitar, for example.
Eso no ayuda a que la gente aprenda inglés.;That doesn't help people learn English.
A lo mejor, pero es mucho más ameno.;Maybe not, but it's much more pleasant.
¿Así que no te gustan mis listas?;So you don't like my lists?
Yo no dije eso.;I didn't say that.
No me mientas.;Don't lie to me.
En mi vida te he mentido.;I've never lied to you in my life.
Entonces ¿qué es lo que no te gusta de mis listas?;Then what is it you don't like about my lists?
No es que no me gusten.;It's not that I don't like them.
¿Te importaría hablar más claro?;Would you mind speaking more clearly?
Si quieres saber la verdad, te la diré.;If you want to know the truth, I'll tell you.
Son demasiado largas.;They're too long.
Eres demasiado exigente.;You're too demanding.
Se tarda demasiado en hacer cada lista.;It takes too long to do each list.
Hay demasiada repetición.;There's too much repetition.
Hay demasiadas listas.;There are too many lists.
Esperas demasiado de tus alumnos.;You expect too much from your students.
¿Algo más?;Anything else?
De momento, no.;For the moment, no.
Entonces, déjame continuar con mis listas.;Then let me continue with my lists.
Siento pena por tus alumnos.;I feel sorry for your students.
Los vas a volver locos.;You're going to drive them crazy.
Deja que yo me preocupe por eso.;Let me worry about that.
Yo antes creía en tu sistema.;I used to believe in your system.
Antes seguía todos tus consejos.;I used to follow all your advice.
Pero ya no.;But not anymore.
Te crees muy listo.;You think you're really smart.
Podría enseñarte unas cuantas cosas.;I could teach you a few things.
Algún día te darás cuenta de tu error.;Someday you'll realise your mistake.
Yo nunca cometo errores.;I never make mistakes.
Estás cometiendo uno ahora mismo.;You're making one right now.
Estás intentando provocarme.;You're trying to provoke me.
Estás muy orgulloso de ti mismo.;You're very proud of yourself.
Estoy orgulloso de mis logros.;I'm proud of my achievements.
Has logrado muy poco.;You've achieved very little.
He logrado enfadarte.;I've managed to make you angry.
Tú no sabes enfadarme.;You don't know how to make me angry.
Eso es lo que tú crees.;That's what you think.
Cambiemos de tema.;Let's change the subject.
Él logró estropear todo.;He managed to ruin everything.
Conseguí el objetivo.;I achieved the objective.
Conseguí alcanzar el objetivo.;I managed to achieve the objective.
¿Quién llevará a cabo esta tarea?;Who'll carry out this task?
Nadie quiere.;Nobody wants to.
Entonces habrá que hacer algo.;Then something will have to be done.
Eres un jefe duro.;You're a tough boss.
No discutamos hoy.;Let's not argue today.
Deberías añadir un poco más de sal.;You should add a little more salt.
Pero ya está salada.;But it's already salty.
Como sal sólo con mariscos.;I eat salt only with shellfish.
El juicio no durará mucho.;The trial won't last long.
Al juez no le gustan los juicios largos.;The judge doesn't like long trials.
Menos mal.;It's a good thing.
Algunos juicios parecen durar eternamente.;Some trials seem to last forever.
No los de este juez.;Not this judge's.
Eso es un consuelo.;That's a consolation.
Hay mucho papeleo.;There's a lot of paperwork.
Llevan tres meses casados.;They've been married for three months.
Se están acostumbrando el uno a la otra.;They're getting used to each other.
Se están hablando.;They're talking to each other.
No me acostumbré a la vida de casado.;I didn't get used to married life.
Hay cosas más fáciles en la vida.;There are easier things in life.
La vida tiene sus altibajos.;Life has its ups and downs.
Estoy deprimido.;I'm depressed.
Anímate, las cosas mejorarán.;Cheer up, things will get better.
Este lago nunca ha sido profundo.;This lake has never been deep.
Tengo conocimientos superficiales de ese tema.;I have superficial knowledge of that subject.
Hay petróleo en la superficie.;There's oil on the surface.
Puedes resbalar y hacerte daño.;You can slip and hurt yourself.
Es más fácil correr cuesta abajo que cuesta;It's easier to run downhill than uphill.
El bosque es muy espeso aquí.;The forest is very thick here.
Estás engordando últimamente.;You've been gaining weight lately.
Es la mujer más hermosa que jamás he visto.;She's the most beautiful woman I've ever seen.
¿Me la puedes presentar?;Can you introduce her to me?
Quisiera presentarte a Juan.;I'd like to introduce you to John.
Le gustas pero es muy tímido.;He likes you but he's very shy.
¿Qué quieres que le diga? (a él);What do you want me to say to him?
Lo que sea.;Anything.
¿Cómo puede un chico como él ser tan tímido?;How can a boy like him be so shy?
Y además, no es nada feo.;And besides, he's not ugly at all.
De hecho, es justo mi tipo.;In fact, he's just my type.
Le diré que venga aquí.;I'll tell him to come here.
Mi hermana quiere hablar contigo.;My sister wants to talk to you.
¿Sobre qué?;About what?
No seas tonto, le gustas.;Don't be silly, she likes you.
Pero no sé qué decirle.;But I don't know what to say to her.
No te preocupes, ella es muy charlatana.;Don't worry, she's very talkative.
Y además, es Inofensiva.;And besides, she's harmless.
No muerde.;She doesn't bite.
Pero no tenemos nada en común.;But we don't have anything in common.
¿Está buscando marido?;Is she looking for a husband?
Lo dudo.;I doubt it.
Venga, invítala al cine.;Come on, invite her to the movies.
Pero no sé qué clase de películas le gustan.;But I don't know what kind of movies she likes.
Le da igual.;She doesn't care.
Necesito tu apoyo moral.;I need your moral support.
No hay por qué preocuparse.;There's no need to worry.
No funciona nada en este país.;Nothing works in this country.
Él está en camino.;He's on his way.
¿Cuánto tiempo dura el curso?;How long does the course last?
¿Has solicitado la beca?;Have you applied for the scholarship?
Somos amigos desde hace un año.;We've been friends for a year.
Hemos creado una sociedad.;We've formed a company.
Tenemos que darle un nombre.;We have to give it a name.
Tendrás que invertir cierta cantidad en dinero.;You'll have to invest a certain amount of money.
Te daremos acciones.;We'll give you shares.
Serás en parte dueño de esto.;You'll be part owner of this.
¿Estás dispuesto a invertir?;Are you willing to invest?
Queremos dinero en metálico.;We want cash.
Echa la carta al correo.;Mail the letter.
No se te olvide el remite.;Don't forget the return address.
El cielo está empezando a despejarse.;The sky's starting to clear up.
La póliza ha caducado.;The policy has expired.
¿Vas a renovarla?;Are you going to renew it?
¿Para qué?;What for?
Ojalá supiera más inglés.;I wish I knew more English.
Ojalá tuviera más dinero.;I wish I had more money.
Ojalá pudiera convencerle.;I wish I could convince him.
Espero que llueva esta tarde.;I hope it rains this afternoon.
Ráscame la espalda.;Scratch my back.
Tengo un terrible dolor de muela.;I have a terrible toothache.
Cruzaremos ese puente cuando lleguemos a él.;We'll cross that bridge when we get to it.
No me arrepiento de nada de lo que he hecho.;I don't regret anything I've done.
Llámame cuando quieras.;Call me whenever you want.
No quiero que estés triste.;I don't want you to be sad.
Me dijeron que ya te habías ido.;They told me you'd already left.
Te aplastaremos.;We'll crush you.
El perro enterró el hueso.;The dog buried the bone.
El entierro fue por la mañana.;The burial was in the morning.
Fueron arrestados y llevados al juzgado.;They were arrested and taken to court.
El juez no apareció.;The judge didn't show up.
Estuvimos esperando media hora.;We waited for half an hour.
La mercancía no ha sido aún embarcada.;The goods haven't been shipped yet.
Hay un retraso en el embalaje.;There's a delay in the packaging.
Nuestros trabajadores están en huelga desde hace más de un mes.;Our workers have been on strike for more than a month.
No hemos llegado a un acuerdo.;We haven't reached an agreement.
Hasta que esto no se resuelva, no podemos prometer nada.;Until this is resolved (solved), we can't promise anything.
¿Qué sugieres que hagamos?;What do you suggest we do?
Deberías ser más flexible.;You should be more flexible.
Pero llevo 5 años siendo flexible y mira lo que ha pasado.;But I've been flexible for 5 years and look at what's happened.
No es culpa tuya.;It's not your fault.
Entonces ¿de quién es la culpa?;Then whose fault is it?
No deberías echar la culpa a nadie.;You shouldn't blame anyone.
No necesito tus consejos.;I don't need your advice.
Entonces ¿por qué me has contratado?;Then why have you hired me?
Realmente no lo sé.;I really don't know.
Fueron advertidos del peligro.;They were warned of the danger.
Más vale que te vayas, porque sino...;You'd better leave because otherwise...
¿Me estás amenazando?;Are you threatening me?
Más vale que sigas mi consejo.;You'd better follow my advice.
Lo compré de segunda mano.;I bought it second hand.
Siempre te estás quejando del calor.;You're always complaining about the heat.
No debías haber venido aquí.;You shouldn't have come here.
Está sonando el teléfono.;The telephone's ringing.
Yo lo cojo.;I'll get it.
¿Para quién es?;Who's it for?
Era un número equivocado.;It was the wrong number.
Una secretaria debe ser educada.;A secretary should be polite.
También debe ser agradable y amable.;She should also be pleasant and friendly.
Sobre todo, debe ser puntual y justa.;Above all, she should be punctual and fair.
Debe saber doblar cartas.;She should know how to fold letter.
Debe saber tomar recados.;She should know how to take messages.
Debe saber mecanografía y taquigrafía.;She should know typing and shorthand.
Tus informes deberían ser concisos.;Your reports should be concise.
Has tenido mucha suerte.;You've been very lucky.
¿Cuántos años tenías cuando eso pasó?;How old were you when that happened?
Siento que no pudieras quedarte.;I'm sorry you couldn't stay.
Te acostumbrarás a mi estilo.;You'll get used to my style.
Ya estoy acostumbrado a ello.;I'm already accustomed to it.
Luché por todo lo que conseguí.;I fought for everything I got.
Huele a flores.;It smells like flowers.
Ponió encima de esto.;Put it on top of this.
Ella lleva siempre mucho maquillaje.;She always wears a lot of makeup.
Siempre tengo que recordarle que se afeite.;I always have to remind him to shave.
Es muy olvidadizo.;He's very forgetful.
Es de los pocos hombres que llevan sombrero.;He's one of the few men who wear a hat.
¿Se burlan sus amigos de él?;Do his friends make fun of him?
Creo que no.;I don't think so.
Parecen ser bastante majos.;They seem to be pretty nice.
¿Qué impresión sacaste tú?;What impression did you get?
Tienes que causar una buena impresión.;You have to make a good impression.
No causaste buena impresión.;You didn't make a good impression.
No lo puedo aguantar.;I can't stand it.
Algo tiene que hacerse.;Something has to be done.
¿Qué esperas trabajando para un hombre como él?;What do you expect working for a man like him.
¿Desde cuándo paga bien a su gente?;Since when does he pay his people well?
Te advertí que no aceptaras su oferta.;I warned you not to accept his offer.
Pero no me hiciste caso.;But you didn't pay any attention to me.
Ahora estás sufriendo las consecuencias;Now you're suffering the consequences.
Su muerte afectó a todos aquí.;His death affected everyone here.
Parecía un hombre tan sano.;He seemed like such a healthy man.
Dejó una herencia a su esposa.;He left an inheritance to his wife.
Estoy agotado.;I'm exhausted.
¿Por qué no te tomas estas pastillas?;Why don't you take these pills?
No sé tragar pastillas.;I don't know how to swallow pills.
Eres un poco raro ¿no?;You're a little strange, aren't you?
Han llegado a una conclusión final.;They've reached a final conclusion.
Han decidido vender el negocio.;They've decided to sell the business.
Tienen que pagar a sus acreedores.;They have to pay their creditors.
Tienen muchas deudas.;They have a lot of debts.
Deben millones a los bancos.;They owe millions to the banks.
Nadie les dará un préstamo ahora.;No one will give them a loan now.
Es muy arriesgado invertir ahora.;It's very risky to invest now.
La mano de obra es cara.;Manpower is expensive.
Los bancos se niegan a prestar dinero.;Banks refuse to lend money.
Nadie quiere ahorrar.;Nobody wants to save.
El paro está subiendo.;Unemployment is increasing.
El gasto público es demasiado alto.;Public spending is too high.
No me hables de economía.;Don't talk to me about economics.
La economía está más allá de nuestro control.;The economy is beyond our control.
¿Cuántas listas nos quedan?;How may lists do we have left?
Ninguna.;None.
¿Quieres decir que ésta es la última?;Do you mean this is the last one?
La última de momento.;The last one for the moment.
¿Qué quieres decir 'de momento'?;What do you mean 'for the moment'?
Habrá más libros.;There will be more books.
¿Qué contendrán?;What will they contain?
Estarán llenos de gramática compleja.;They'll be full of complex grammar.
¿Qué más?;What else?
Habrá vocabulario nuevo.;There will be new vocabulary.
¿Cuándo estarán listos?;When will they be ready?
No te lo puedo decir todavía.;I can't tell you yet.
¿Me guardarás una copia?;Will you save a copy for me?
Si eso es lo que quieres.;If that's what you want.
¿Cuánto cobrarás por cada libro?;How much will you charge for each book?
Serán gratis.;They'll be free.
Eso es muy considerado por tu parte.;That's very considerate of you.
¿Qué estamos esperando?;What are we waiting for?
Él te puede asesorar sobre esto.;He can advise you on this.
Yo agradecería mucho tu ayuda.;I'd appreciate your help very much.
Quiero prorrogar el plazo.;I want to extend the deadline.
La experiencia me ha enseñado todo lo que sé.;Experience has taught me everything I know.
Tengo reuniones diarias y semanales.;I have daily and weekly meetings.
Recibo un informe mensual y anual.;I receive a monthly and yearly report.
Presto mucha atención a las cifras.;I pay a lot of attention to the figures.
Animo a mi gente a hacer un esfuerzo.;I encourage my people to make an effort.
Trato de ser justo en todo momento.;I try to be fair at all times.
Tengo mis fallos como todos.;I have my faults like everyone else.
Una cosa que no hago es perder el tiempo.;One thing I don't do is to waste time.
He tardado mucho en aprender a usar mi tiempo inteligentemente.;It's taken me a long time to learn how to use my time wisely.
¿Cuántas frases me quedan?;How many sentences do I have left?
Casi has terminado.;You're almost finished.
Celebremos el acontecimiento.;Let's celebrate the event.
Estoy harto de tantas listas.;I'm fed up with so many lists.
Debe de haber una forma más sencilla.;There must be a simpler way.
Aprender un idioma es realmente duro.;Learning a language is really tough.
